1	3
1	5
1	7
1	9
1	11
1	13
1	15
2	5
2	14
2	17
2	19
2	21
2	23
2	25
2	27
3	28
3	30
3	32
3	34
3	36
3	26
3	39
3	41
3	43
4	6
4	8
4	12
4	14
4	16
4	45
4	47
4	49
4	18
4	51
4	53
4	55
4	57
4	59
4	61
4	62
4	64
4	66
4	68
4	70
4	72
4	74
4	76
4	78
4	80
4	32
4	22
4	83
4	85
4	87
4	89
4	91
4	24
4	94
4	96
4	98
4	100
4	102
4	104
4	106
4	108
5	4
5	9
5	14
5	17
5	18
5	109
5	58
5	62
5	69
5	112
5	113
5	114
5	115
5	117
6	28
6	21
6	119
6	120
6	26
6	38
6	124
6	126
7	13
7	46
7	67
7	129
7	130
8	6
8	9
8	12
8	15
8	17
8	131
8	18
8	52
8	58
8	128
8	133
8	63
8	72
8	74
8	77
8	135
8	96
8	137
8	138
8	105
8	141
8	143
9	5
9	14
9	127
9	58
9	145
9	62
9	67
9	28
9	30
9	76
9	149
11	13
11	16
11	51
11	111
11	150
11	139
11	152
11	154
12	5
12	9
12	14
12	16
12	49
12	50
12	51
12	109
12	57
12	59
12	133
12	65
12	150
12	71
12	73
12	80
12	156
12	135
12	96
12	138
12	151
12	141
12	143
13	14
13	77
13	156
13	158
14	4
14	7
14	9
14	12
14	15
14	45
14	17
14	47
14	49
14	50
14	19
14	52
14	160
14	54
14	56
14	58
14	161
14	20
14	63
14	65
14	150
14	68
14	69
14	71
14	73
14	75
14	77
14	78
14	81
14	22
14	23
14	85
14	88
14	166
14	167
14	24
14	169
14	170
14	100
14	101
14	138
14	104
14	25
14	106
15	8
15	12
15	14
15	45
15	127
15	47
15	18
15	52
15	55
15	59
15	176
15	20
15	111
15	65
15	67
15	74
15	164
15	156
15	166
15	96
15	138
15	103
15	105
15	107
15	144
16	13
16	127
16	64
16	29
16	113
16	178
16	180
181	4
181	9
181	13
181	15
181	44
181	182
181	159
181	17
181	47
181	49
181	132
181	50
181	19
181	51
181	175
181	160
181	186
181	54
181	56
181	57
181	59
44	4
44	12
44	14
44	182
44	183
44	18
44	161
44	61
44	73
44	189
44	190
44	191
44	87
44	192
44	194
44	196
44	100
44	198
44	199
44	200
45	111
182	12
182	94
174	182
159	5
159	12
159	14
159	16
159	47
159	18
159	54
159	58
159	201
159	67
159	77
159	202
159	88
159	204
159	166
127	9
127	13
127	16
127	50
127	52
127	53
127	56
127	59
127	61
127	205
127	111
127	28
127	71
127	73
127	78
127	81
127	83
127	95
17	5
17	9
17	14
17	49
17	109
17	58
17	111
17	33
17	94
17	114
17	115
46	4
46	9
46	13
46	15
46	18
46	52
46	57
46	207
46	201
46	205
46	66
46	75
46	209
46	79
46	81
46	166
46	92
46	95
46	172
46	36
46	105
46	213
46	215
47	4
47	8
47	12
47	14
47	16
47	182
47	46
47	50
47	19
47	52
47	160
